台灣頻道,#genre#
中視,http://ali.hlspull.yximgs.com/live/664c9aa63d0fb7e7f1293c7ffb631eb5.flv
中視,http://ali.hlspull.yximgs.com/live/52a530a4e86744622cb9bfeb0c162eb1.flv
中視,https://ali.hlspull.yximgs.com/live/sFcIoo9sub5usCb2Y8mF6yvYdfpoSEzw.flv
中視新聞,http://ali.hlspull.yximgs.com/live/c12e555c61b5edecfe47f027c04078bc.flv
中視新聞,http://ali.hlspull.yximgs.com/live/58c508345cb2adee3c2f5c7eb0af5c6d.flv
中視新聞,http://103.225.9.173:1977/live/video/no_signal.mp4
中視新聞,https://ali.hlspull.yximgs.com/live/SugdBenwHIb3W7hxCfaIDYDGSso9RGfK.flv
中視經典,http://ali.hlspull.yximgs.com/live/31900648dd1eec864d3e9bbbc0c24620.flv
公視,http://ali.hlspull.yximgs.com/live/54bcc944fe434032ce1308442fd97c04.flv
公視,http://103.225.9.173:1977/live/video/no_signal.mp4
公視,http://ali.hlspull.yximgs.com/live/3eb6a4a63af85d12bd9c6cb0496f3690.flv
公視,https://ali.hlspull.yximgs.com/live/ef413a868614e50a04f6a0a32c32be6d.flv
公視,http://103.225.9.173:1977/live/video/no_signal.mp4
小公視,https://ali.hlspull.yximgs.com/live/6f9c46c84b9a4adaa1c490843936af48.flv
公視戲劇,http://ali.hlspull.yximgs.com/live/3b7bc9581ded912c1d49f3b699fb7d98.flv
公視台語台,https://ali.hlspull.yximgs.com/live/91ada0df4c038d77a9e4c54eadabf022.flv
公視新聞網,http://ali.hlspull.yximgs.com/live/f1a79400c703d0f8b40318e9802acd09.flv
民視,http://ali.hlspull.yximgs.com/live/d7cb0713266252c2bd093340861ad720.flv
民視,https://ali.hlspull.yximgs.com/live/Jeo2tgOaknO0smpYEj9pEd2nLmqgwLbv.flv
民視第一台,http://ali.hlspull.yximgs.com/live/28bb93a34348f95030bf1710d44c5620.flv
民視第一台,https://ali.hlspull.yximgs.com/live/y22SDVL3VuobDg907aEqOm791vAUL621.flv
民視台灣台,http://ali.hlspull.yximgs.com/live/020db6518e5a89156da49d06fa7ec674.flv
民視台灣台,https://ali.hlspull.yximgs.com/live/xcqfVLB9egV8hkK111EjW6YtoPLXJf7B.flv
民視新聞台,http://ali.hlspull.yximgs.com/live/04e6e963e7b26dfe93ba33ca9d7a48d3.flv
民視影劇台,http://ali.hlspull.yximgs.com/live/f4cbed51ae561a0e745150c1942a7765.flv
民視旅遊台,http://ali.hlspull.yximgs.com/live/da29339cc79738cecacc27197b381028.flv
民視綜藝台,http://ali.hlspull.yximgs.com/live/9b78c9dcb78460bada84ec0b6438acc3.flv
台視,http://ali.hlspull.yximgs.com/live/6ecca38b1c40842822babee2b44c64c3.flv
台視,http://ali.hlspull.yximgs.com/live/5b908be95ea9e1a7c135dbe6128ab6a8.flv
台視,http://ali.hlspull.yximgs.com/live/905fe0eb47ccea756dc6aa780a8a7927.flv
台視,https://ali.hlspull.yximgs.com/live/7b93f75b9f6edeb0c8dbbdbb794f309d.flv
台視新聞HD,http://ali.hlspull.yximgs.com/live/7ee7e1607fbbb347117c3581e991e7d7.flv
台視新聞HD,http://ali.hlspull.yximgs.com/live/63d7b524a1b70a7c0f4678cf1ac0087c.flv
台視新聞HD,https://ali.hlspull.yximgs.com/live/f89a38e041f204763e0846abd8db3011.flv
台視新聞HD,https://ali.hlspull.yximgs.com/live/tbDr9llv6Do6PxeIDnRTAByAeSveoiaS.flv
台視綜合,https://ali.hlspull.yximgs.com/live/16da9391760dd9416afe8874e95c01a1.flv
台視財經,http://ali.hlspull.yximgs.com/live/efdd654a69adc2de4d73d3a6540a08ac.flv
台視財經,https://ali.hlspull.yximgs.com/live/cf4d7d7b2d638b8806b6fae37bfe4c98.flv
台灣戲劇,http://ali.hlspull.yximgs.com/live/74bdbb8be76867e0af5f472d5e1c5002.flv
台灣戲劇,https://ali.hlspull.yximgs.com/live/01d857d63e216584285f26bc74eac1b8.flv
華視,http://ali.hlspull.yximgs.com/live/6caada6e21f18c69932853db6d67d506.flv
華視,https://ali.hlspull.yximgs.com/live/7EwclN973xFppLr9Is6DuRkC7eYmFd0k.flv
CTS華視新聞資訊,http://ali.hlspull.yximgs.com/live/fe8be74c1895d6cb8b1c5575325865da.flv
CTS華視新聞資訊,http://ali.hlspull.yximgs.com/live/9b4d498022b2a40bc5bd4d71ea3f21a2.flv
霹靂台灣台,https://ali.hlspull.yximgs.com/live/93d85ddbd139e955a03971834fccdc37.flv
壹新聞,http://ali.hlspull.yximgs.com/live/df9a8726faee511bbaff1e60270359dd.flv
壹新聞,https://ali.hlspull.yximgs.com/live/NLAfkkchMS0kTbzUGQ8nTQ0E1INVRNmU.flv
壹新聞,https://ali.hlspull.yximgs.com/live/ee63c7d6a46dcec7d9769579aaeefec0.flv
壹電影,http://ali.hlspull.yximgs.com/live/4a36d7765cdeeba8c8d555929a79c621.flv
JET綜合台,https://ali.hlspull.yximgs.com/live/8b09e80eb064205e03acb36192e0886b.flv
年代新聞,http://ali.hlspull.yximgs.com/live/ea2b63ebcd729bf90a19e35a2dd2571d.flv
年代新聞,https://ali.hlspull.yximgs.com/live/deUL7t99j7O8tK2TJ7AcAHmqLQaF2R60.flv
年代Much,http://ali.hlspull.yximgs.com/live/9595897b6f6f5fda2edbd39bf5e74457.flv
非凡新聞,http://ali.hlspull.yximgs.com/live/543a2f089c5a650f4e1604ab88d1d1fe.flv
非凡新聞,http://ali.hlspull.yximgs.com/live/335d8b77328044d19f1b78ea97b3d1d5.flv
非凡新聞,https://ali.hlspull.yximgs.com/live/273e58e68f5eb17ffbfa46ff7c9676aa.flv
非凡新聞,https://ali.hlspull.yximgs.com/live/DU0VgYnRM7tQDLNhRkHw42pkMsGwL9El.flv
非凡商業,http://ali.hlspull.yximgs.com/live/76fb5affe87b2bd15d2479dcfa35d6f0.flv
寰宇新聞,http://ali.hlspull.yximgs.com/live/5d6ba12c48e2c7902d3c9f734fe9bd86.flv
寰宇新聞,http://ali.hlspull.yximgs.com/live/f5103ee9599096bc58523b4766fa19fb.flv
寰宇新聞,https://ali.hlspull.yximgs.com/live/lqZqOGvcQtkdJqF5TXCWGsQvgZcHvFaq.flv
寰宇新聞,https://ali.hlspull.yximgs.com/live/Zjqlm8PCoPzvPaW2yGPi2NqWULx0zVDs.flv
寰宇新聞台灣,http://ali.hlspull.yximgs.com/live/16f49e09cc6d5263fe4cce3aaf00e5eb.flv
寰宇財經,http://ali.hlspull.yximgs.com/live/260f0b4da7ac69fb1b28cc4ffeed7a9c.flv
鏡新聞,http://ali.hlspull.yximgs.com/live/22dc55a89845dd7dc31a20c9bcdb57e5.flv
鏡新聞,http://ali.hlspull.yximgs.com/live/6027eb803b4da876065c03c6cf066eec.flv
鏡新聞,https://ali.hlspull.yximgs.com/live/SXasBQ03vG6tAik8nTxzF3KRnywWnRzU.flv
東森超視美洲,http://ali.hlspull.yximgs.com/live/eede94eaea6042cd72b087758260827c.flv
東森超視美洲,https://ali.hlspull.yximgs.com/live/d028a62ec107cd6ca2a706e8791146ef.flv
東森美洲,http://ali.hlspull.yximgs.com/live/1280fc81f6a8dfb6d917a20247bca2ec.flv
東森美洲,https://ali.hlspull.yximgs.com/live/4bf034e29ca5e8776d2a5e08de3c31f6.flv
東森美洲衛視,http://ali.hlspull.yximgs.com/live/c09ad4bee94e1bb1f7f191b100f16645.flv
東森美洲衛視,http://103.225.9.173:1977/live/video/no_signal.mp4
東森中國台,http://ali.hlspull.yximgs.com/live/223ef33886eda4c989d7dfbdcc0d405c.flv
東森中國台,https://ali.hlspull.yximgs.com/live/25867a07133489b88b756d2a0ee94f36.flv
東森超視,http://ali.hlspull.yximgs.com/live/972f33f56e16e0aace8be59bc383d081.flv
東森超視,https://ali.hlspull.yximgs.com/live/7f8ea84507f14519b0ecdf0d8a931fae.flv
東森幼幼,http://ali.hlspull.yximgs.com/live/9d62968af3b1ff689b910087e2d4d25d.flv
東森幼幼,https://ali.hlspull.yximgs.com/live/6sLS0NI7S8UOG9KdFKCsrF2rbgedDLdX.flv
東森幼幼,https://ali.hlspull.yximgs.com/live/fa5eabf8a6fa43f2aceab547a2ef1036.flv
MOMO親子台,http://ali.hlspull.yximgs.com/live/cdc54463bf0e7577100d865621aa19fd.flv
